Rank;Name;Score;Federation;Gender;Rating;TPR;W-We;BH;SB
1;"Leenen, Boyd";0.0;NED;M;2073;0;+0.00; 0.0; 0.0
2;"Thijssen, Freek";0.0;NED;M;1901;0;+0.00; 0.0; 0.0
3;"Ma, Tim";0.0;NED;M;1861;0;+0.00; 0.0; 0.0
4;"Lalkota, Sai Pranav Tejas";0.0;NED;M;1855;0;+0.00; 0.0; 0.0
5;"Gayen, Arish";0.0;NED;M;1756;0;+0.00; 0.0; 0.0
6;"Zhou, Yanyang";0.0;NED;M;1755;0;+0.00; 0.0; 0.0
7;"Elangkumaran, Anumitra";0.0;NED;V;1689;0;+0.00; 1.0; 0.0
8;"Zhang, Yourui Eric";0.0;NED;M;1607;0;+0.00; 0.0; 0.0
9;"Mathijssen, Jasper";0.0;NED;M;1522;0;+0.00; 0.0; 0.0
10;"Bruls, Sven";0.0;NED;M;1467;0;+0.00; 0.0; 0.0
11;"De Vylder, Nathan";0.0;NED;M;1249;0;+0.00; 0.0; 0.0
12;"Fusers, Lorijn";0.0;NED;V;1216;0;+0.00; 0.0; 0.0
13;"Van der Heijden, Marijn";0.0;NED;M;1190;0;+0.00; 0.0; 0.0
14;"Maram, Vihaan";0.0;NED;M;1056;0;+0.00; 0.0; 0.0
15;"Gupta, Adarsh";0.0;NED;M;0;0;0; 0.0; 0.0
16;"Pai, Pradhyun";1.0;NED;M;0;0;0; 0.0; 0.0
