Rank;Name;Flags;Score;Federation;Gender;Rating;TPR;W-We;BH;SB
1;"Galkin, Eric";;0.0;NED;M;0;0;0; 1.0; 0.0
2;"Dinanath, Hrdya";;0.0;NED;M;2072;0;+0.00; 0.0; 0.0
3;"Zhang, Xiheng";;0.0;NED;M;2000;0;+0.00; 0.0; 0.0
4;"Lenting, Roan";;0.0;NED;M;1881;0;+0.00; 0.0; 0.0
5;"Ma, Tim";;0.0;NED;M;1861;0;+0.00; 0.0; 0.0
6;"Omnes, Tiago";;0.0;NED;M;1829;0;+0.00; 0.0; 0.0
7;"Van Heinsbergen, Jonathan";;0.0;BEL;M;1761;0;+0.00; 0.0; 0.0
8;"Zhou, Yanyang";;0.0;NED;M;1755;0;+0.00; 0.0; 0.0
9;"Srivatsa, Kirtin";;0.0;NED;M;1754;0;+0.00; 0.0; 0.0
10;"Huang, Vincent";;0.0;NED;M;1743;0;+0.00; 0.0; 0.0
11;"Verstegen, Jonas";;0.0;NED;M;1594;0;+0.00; 0.0; 0.0
12;"Plukkel, Guus";;0.0;NED;M;1548;0;+0.00; 0.0; 0.0
13;"Pata, Teodor-Stefan";;0.0;NED;M;1509;0;+0.00; 0.0; 0.0
14;"Zhang, Melody";;0.0;NED;F;1492;0;+0.00; 0.0; 0.0
15;"Gafurov, Damir";;0.0;NED;M;1457;0;+0.00; 0.0; 0.0
16;"Omnes, Zoë";;0.0;NED;F;1417;0;+0.00; 0.0; 0.0
17;"Malhan, Kiyaan";;0.0;NED;M;1365;0;+0.00; 0.0; 0.0
18;"Li, Vince";;0.0;NED;M;1333;0;+0.00; 0.0; 0.0
19;"Methlouthi, Aly";;0.0;NED;M;1182;0;+0.00; 0.0; 0.0
20;"Kao, Ko-En";;0.0;NED;F;1137;0;+0.00; 0.0; 0.0
21;"Engels, Devy";;0.0;NED;M;1090;0;+0.00; 0.0; 0.0
22;"Jin, Jayden";;0.0;NED;M;1090;0;+0.00; 0.0; 0.0
23;"Staadegaard, Bas";;0.0;NED;M;1087;0;+0.00; 0.0; 0.0
24;"Kao, Cheng-Zhe Buddy";;0.0;NED;M;870;0;+0.00; 0.0; 0.0
25;"Chaudhuri, Aarini";;0.0;NED;F;0;0;0; 0.0; 0.0
26;"Deijkers, Senn";;0.0;NED;M;0;0;0; 0.0; 0.0
27;"Hamelink, Noah";;0.0;NED;M;0;0;0; 0.0; 0.0
28;"Marupudi, Maurya Kiran";;0.0;NED;M;0;0;0; 0.0; 0.0
29;"Satya Penugurti,Advika";;0.0;NED;F;0 *;0;0; 0.0; 0.0
