Rank;Name;Score;Federation;Gender;Rating;TPR;W-We;BH;SB
1;"Ma, Tim";5.0;NED;M;1861;2264;+0.41;16.5;16.5
2;"Kokkula, Advaith Krishna";4.0;NED;M;1220;820;-0.08;14.0; 9.0
3;"Leenen, Pomme";3.5;NED;V;1475;1460;-0.05;14.0; 7.25
4;"Leenen, Bing";3.5;NED;M;1302;1378;+0.42;14.0; 7.25
5;"Altay, Cagan Deniz";3.0;NED;M;1222;1407;+0.56;16.5; 8.0
6;"Do, Leo";3.0;NED;M;0 *;1106;+0.50;11.5; 4.5
7;"Pata, Teodor-Stefan";3.0;NED;M;1498;1129;-1.59; 9.0; 3.5
8;"Lalkota, Srikar";2.5;NED;M;1054;1237;+0.78;14.5; 5.0
9;"Satya Penugurti, Advika";2.5;NED;V;0 *;1017;1017;13.5; 4.75
10;"Chaudhuri, Aarini";2.5;NED;V;0;1045;1045;11.0; 3.5
11;"Marupudi, Maurya Kiran";2.0;NED;M;0 *;1176;1176;13.5; 3.0
12;"Methlouthi, Youssef";1.5;NED;M;737;836;+0.21;11.5; 2.0
13;"Udhaya Kumar, Medhini";1.5;NED;V;841;441;-0.08;10.5; 2.25
14;"Ding, David";2.5;NED;M;1207;1000;-0.34;10.0; 2.5
15;"Spahiev, Jordan";1.0;NED;M;773;373;-0.24;12.5; 1.5
